bitcoin_close;bitcoin_open;bitcoin_max;bitcoin_min;bitcoin_volume;date
10,544.2;10,572.2;10,597.8;10,501.2;29.10K;03/10/2020
10,672.9;10,544.4;10,693.3;10,520.8;31.40K;04/10/2020
10,789.5;10,672.5;10,789.6;10,623.4;48.86K;05/10/2020
10,602.6;10,790.2;10,800.3;10,530.8;69.07K;06/10/2020
10,670.9;10,601.0;10,680.1;10,553.3;49.27K;07/10/2020
10,924.1;10,670.7;10,948.6;10,549.6;79.78K;08/10/2020
11,054.2;10,923.5;11,103.0;10,836.9;70.95K;09/10/2020
11,298.4;11,053.5;11,475.0;11,053.1;65.81K;10/10/2020
11,371.0;11,295.6;11,439.4;11,277.6;41.06K;11/10/2020
11,533.9;11,370.8;11,715.9;11,227.4;84.02K;12/10/2020
11,423.8;11,533.5;11,558.0;11,315.9;64.67K;13/10/2020
11,420.4;11,424.4;11,541.0;11,293.5;59.12K;14/10/2020
11,503.0;11,421.4;11,590.9;11,276.7;70.84K;15/10/2020
11,322.0;11,503.2;11,542.2;11,224.6;71.42K;16/10/2020
11,362.1;11,321.8;11,402.7;11,274.4;29.86K;17/10/2020
11,506.9;11,362.1;11,506.9;11,349.8;31.51K;18/10/2020
11,753.4;11,507.1;11,823.3;11,413.9;73.04K;19/10/2020
11,913.5;11,753.9;12,029.4;11,685.7;94.59K;20/10/2020
12,808.7;11,913.6;13,213.5;11,894.6;197.72K;21/10/2020
12,974.6;12,805.5;13,183.9;12,698.2;113.31K;22/10/2020
12,934.1;12,972.7;13,025.5;12,738.9;73.94K;23/10/2020
13,117.2;12,933.6;13,161.5;12,876.4;51.20K;24/10/2020
13,032.2;13,117.0;13,345.3;12,900.4;59.73K;25/10/2020
13,061.6;13,033.0;13,229.7;12,792.4;89.47K;26/10/2020
13,657.8;13,061.5;13,782.3;13,050.3;128.64K;27/10/2020
13,278.9;13,658.3;13,851.7;12,907.6;144.18K;28/10/2020
13,457.2;13,278.3;13,640.0;12,982.9;111.23K;29/10/2020
13,559.9;13,457.0;13,667.9;13,134.5;108.77K;30/10/2020
13,797.3;13,560.2;14,065.4;13,441.7;102.75K;31/10/2020
13,759.4;13,795.5;13,889.5;13,628.7;51.71K;01/11/2020
13,561.4;13,759.7;13,828.4;13,214.2;97.76K;02/11/2020
14,019.9;13,560.5;14,054.0;13,294.6;108.17K;03/11/2020
14,145.6;14,023.0;14,238.8;13,544.4;140.80K;04/11/2020
15,587.1;14,145.6;15,739.9;14,099.7;227.49K;05/11/2020
